# navg: 167
# mode: data
# columns: [locked, adc]
00000000 02E396AC
00000000 02E396D2
00000000 02E3962F
00000000 02E39641
00000000 02E39621
00000000 02E395AC
00000000 02E39574
00000000 02E3957A
00000000 02E39582
00000000 02E3963F
00000000 02E39630
00000000 02E395DD
00000000 02E3968F
00000000 02E395AC
00000000 02E395DD
00000000 02E3961B
00000000 02E395C9
00000000 02E395BA
00000000 02E3957C
00000000 02E39518
00000000 02E3957E
00000000 02E395DF
00000000 02E39617
00000000 02E39597
00000000 02E3959B
00000000 02E39555
00000000 02E395F9
00000000 02E39532
00000000 02E39565
00000000 02E39468
00000000 02E39456
00000000 02E395D9
00000000 02E39651
00000000 02E3965B
00000000 02E396B3
00000000 02E39676
00000000 02E39679
00000000 02E3967D
00000000 02E39701
00000000 02E395DF
00000000 02E396B5
00000000 02E396F1
00000000 02E39777
00000000 02E3974D
00000000 02E396D7
00000000 02E397BB
00000000 02E396C2
00000000 02E396E1
00000000 02E396A6
00000000 02E39748
00000000 02E39853
00000000 02E3970E
00000000 02E396B3
00000000 02E39709
00000000 02E397E9
00000000 02E39744
00000000 02E396CA
00000000 02E396DA
00000000 02E39729
00000000 02E39740
00000000 02E39700
00000000 02E3976A
00000000 02E3980D
00000000 02E397FA
00000000 02E39883
00000000 02E39866
00000000 02E39894
00000000 02E3982E
00000000 02E39825
00000000 02E397B3
00000000 02E39742
00000000 02E39825
00000000 02E39861
00000000 02E398B5
00000000 02E3985A
00000000 02E398A5
00000000 02E3981B
00000000 02E3975C
00000000 02E3974C
00000000 02E397C1
00000000 02E397DA
00000000 02E39787
00000000 02E397AD
00000000 02E39892
00000000 02E397F5
00000000 02E39794
00000000 02E396E2
00000000 02E3969D
00000000 02E39726
00000000 02E39701
00000000 02E3974A
00000000 02E396F6
00000000 02E3977A
00000000 02E397ED
00000000 02E39734
00000000 02E39731
00000000 02E39765
00000000 02E397B1
00000000 02E397B7
00000000 02E397BC
00000000 02E39783
00000000 02E3975A
00000000 02E39807
00000000 02E3980A
00000000 02E39752
00000000 02E3977F
00000000 02E397A3
00000000 02E39796
00000000 02E397B6
00000000 02E39839
00000000 02E397BB
00000000 02E39903
00000000 02E3986B
00000000 02E398CA
00000000 02E398FA
00000000 02E3992D
00000000 02E39914
00000000 02E39981
00000000 02E39913
00000000 02E399C3
00000000 02E399F2
00000000 02E39A1B
00000000 02E3994A
00000000 02E3994D
00000000 02E39888
00000000 02E398EB
00000000 02E398F0
00000000 02E39875
00000000 02E397A4
00000000 02E39840
00000000 02E39887
00000000 02E397E5
00000000 02E397F6
00000000 02E39846
00000000 02E3977D
00000000 02E397AF
00000000 02E397B3
00000000 02E397AD
00000000 02E397C2
00000000 02E3986E
00000000 02E39859
00000000 02E39831
00000000 02E39831
00000000 02E397D3
00000000 02E397AC
00000000 02E39702
00000000 02E396D2
00000000 02E3977F
00000000 02E396FA
00000000 02E3977D
00000000 02E3971E
00000000 02E397A8
00000000 02E397B9
00000000 02E397E4
00000000 02E39803
00000000 02E397B5
00000000 02E3983E
00000000 02E39844
00000000 02E397F5
00000000 02E39841
00000000 02E397AD
00000000 02E39748
00000000 02E39605
00000000 02E395BE
00000000 02E395A7
00000000 02E395CA
00000000 02E395B0
00000000 02E395DF
00000000 02E395F3
00000000 02E3963E
00000000 02E396A1
00000000 02E39773
00000000 02E397A6
00000000 02E397CB
00000000 02E39853
00000000 02E397A8
00000000 02E39827
00000000 02E398F8
00000000 02E398E7
00000000 02E398E5
00000000 02E39954
00000000 02E398A3
00000000 02E397F5
00000000 02E397ED
00000000 02E39764
00000000 02E39745
00000000 02E396F4
00000000 02E39702
00000000 02E396EF
00000000 02E3974C
00000000 02E39713
00000000 02E3975A
00000000 02E398B7
00000000 02E3981F
00000000 02E3984A
00000000 02E39954
00000000 02E39928
00000000 02E399E5
00000000 02E39A1E
00000000 02E39A21
00000000 02E39A20
00000000 02E39A3F
00000000 02E39A4D
00000000 02E39A01
00000000 02E39AF0
00000000 02E39AD5
00000000 02E39B40
00000000 02E39A8E
00000000 02E39AA6
00000000 02E39B58
00000000 02E39B29
00000000 02E39A6B
00000000 02E39A59
00000000 02E39A4D
00000000 02E39B13
00000000 02E39B81
00000000 02E39B75
00000000 02E39A8E
00000000 02E39B1C
00000000 02E39B65
00000000 02E39BBD
00000000 02E39B4A
00000000 02E39B34
00000000 02E39A21
00000000 02E39A56
00000000 02E39A81
00000000 02E399FF
00000000 02E39B3F
00000000 02E399B8
00000000 02E39A81
00000000 02E39A82
00000000 02E39AFC
00000000 02E39BB0
00000000 02E39B6C
00000000 02E39BAE
00000000 02E39B83
00000000 02E39AF9
00000000 02E39B82
00000000 02E39B21
00000000 02E39B2F
00000000 02E39B5C
00000000 02E39A98
00000000 02E39A79
00000000 02E39AA4
00000000 02E39A6E
00000000 02E39ACB
00000000 02E39AC4
00000000 02E39A29
00000000 02E39A4D
00000000 02E399D0
00000000 02E3999C
00000000 02E3993D
00000000 02E39886
00000000 02E3986A
00000000 02E398F1
00000000 02E398C9
00000000 02E3981C
00000000 02E398A5
00000000 02E39872
00000000 02E39791
00000000 02E397CF
00000000 02E3980E
00000000 02E39734
00000000 02E39777
00000000 02E396F9
00000000 02E397A5
00000000 02E398D7
00000000 02E3993E
00000000 02E3994F
00000000 02E398EF
00000000 02E3998B
00000000 02E39A44
00000000 02E39A1D
00000000 02E39A6D
00000000 02E39A17
00000000 02E399CE
00000000 02E39A9D
00000000 02E39A6E
00000000 02E39A3C
00000000 02E39980
00000000 02E3992D
00000000 02E39988
00000000 02E399A6
00000000 02E39904
00000000 02E39907
00000000 02E398CB
00000000 02E39769
00000000 02E39790
00000000 02E39784
00000000 02E3978A
00000000 02E39817
00000000 02E397BA
00000000 02E39888
00000000 02E398A1
00000000 02E3998E
00000000 02E3997C
00000000 02E39909
00000000 02E39963
00000000 02E398E5
00000000 02E39901
00000000 02E39874
00000000 02E3983D
00000000 02E39847
00000000 02E398FC
00000000 02E3986A
00000000 02E3988C
00000000 02E398DE
00000000 02E39919
00000000 02E398A9
00000000 02E39856
00CCFF33 0282A5E9
03E7FC18 0109E422
03E7FC18 0109E401
03E7FC18 0109E461
03E7FC18 0109E46D
03E7FC18 0109E46B
03E7FC18 0109E47E
03E7FC18 0109E49F
03E7FC18 0109E42B
03E7FC18 0109E4D0
03E7FC18 0109E4D9
03E7FC18 0109E4E7
03E7FC18 0109E462
03E7FC18 0109E477
03E7FC18 0109E4D9
03E7FC18 0109E533
03E7FC18 0109E5E3
03E7FC18 0109E5FA
03E7FC18 0109E5EF
03E7FC18 0109E616
03E7FC18 0109E5EA
03E7FC18 0109E5ED
03E7FC18 0109E677
03E7FC18 0109E644
03E7FC18 0109E523
03E7FC18 0109E638
03E7FC18 0109E58C
03E7FC18 0109E4D6
03E7FC18 0109E497
03E7FC18 0109E535
03E7FC18 0109E5C9
03E7FC18 0109E5D6
03E7FC18 0109E6A6
03E7FC18 0109E489
03E7FC18 0109E198
03E7FC18 0109DD56
03E7FC18 0109DECB
03E7FC18 0109E0BC
03E7FC18 0109E271
03E7FC18 0109E324
03E7FC18 0109E3A6
03E7FC18 0109E4E3
03E7FC18 0109E54A
03E7FC18 0109E69D
03E7FC18 0109E516
03E7FC18 0109E54E
03E7FC18 0109E4D5
03E7FC18 0109E400
03E7FC18 0109E53F
03E7FC18 0109E4E3
03E7FC18 0109E50B
03E7FC18 0109E60E
03E7FC18 0109E737
03E7FC18 0109E960
03E7FC18 0109EDE1
03E7FC18 0109EC9C
03E7FC18 0109FACA
03E7FC18 010A03C3
03E7FC18 010A0AA7
03E7FC18 0109F83B
03E7FC18 010A01D9
03E7FC18 010A0370
03E7FC18 0109F3AD
03E7FC18 0109E5AF
03E7FC18 0109E801
03E7FC18 0109F151
03E7FC18 0109F97D
03E7FC18 0109FCB9
03E7FC18 0109FDD1
03E7FC18 010A00A0
03E7FC18 0109FD22
03E7FC18 0109F485
03E7FC18 0109F691
03E7FC18 0109F629
03E7FC18 0109F3C3
03E7FC18 0109F3A1
03E7FC18 0109F23F
03E7FC18 0109F62E
03E7FC18 0109FFEE
03E7FC18 010A07C1
03E7FC18 010A0265
03E7FC18 0109FB2F
03E7FC18 0109F025
03E7FC18 0109EB57
03E7FC18 0109EAB4
03E7FC18 0109ECA1
03E7FC18 0109E738
03E7FC18 0109E889
03E7FC18 0109EAC7
03E7FC18 0109EF33
03E7FC18 0109F3FB
03E7FC18 0109EFF4
03E7FC18 0109EF74
03E7FC18 0109F5B6
03E7FC18 0109FB5B
03E7FC18 010A01C7
03E7FC18 0109FBB6
03E7FC18 0109F217
03E7FC18 0109F1E1
03E7FC18 0109F349
03E7FC18 0109EECB
